plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8614, 2244, 256.533447266, 35.6223945618, 100, 2, 1, 0, 58261,58262,
8615, 2245, 320.59307, 3.77314813739e-11, 100, 3, 1, 0, 57255,57269,57271,
8616, 2247, 322.963134766, 0.0106518445536, 100, 3, 1, 0, 57274,57277,57278,
8617, 2248, 325.36307, 5.09510363836e-10, 100, 5, 1, 0, 58745,58747,58749,58750,58751,
8618, 2249, 318.46449707, 10.5380374576, 100, 1, 1, 0, 57196,
8619, 2250, 323.73449707, 11.4404878164, 100, 4, 1, 0, 57938,58007,58008,58009,
8620, 2251, 329.53449707, 12.1959114678, 100, 3, 1, 0, 58774,58775,58776,
8621, 2252, 350.828491211, 14.563378334, 100, 2, 1, 0, 58777,58778,
8622, 2253, 350.48449707, 14.5380631859, 100, 2, 1, 0, 58756,58778,
8623, 2254, 310.734985352, 0.0455697774887, 100, 5, 1, 0, 57279,57280,57281,57283,57284,
8624, 2255, 261.796936035, 59.1905212402, 100, 2, 1, 0, 57578,57579,
8625, 2256, 260.109283447, 56.7318115234, 100, 10, 1, 0, 57572,57573,58744,58745,58747,58749,58750,58751,58752,58755,
8626, 2257, 263.236419678, 56.7846870422, 100, 3, 1, 0, 57274,57277,57278,
8627, 5118, 227.9, 67.11, 321, 9, 6, 0, 57173,
8628, 5118, 227.9, 67.11, 421, 9, 6, 0, 57178,57204,57445,57449,57468,57472,58298,58566,58570,
8629, 5010, 294.1249, 46.0047, 100, 21, 18, 0, 57319,57672,58247,
8630, 5021, 291.5541, 38.1605, 100, 20, 18, 0, 57562,58293,
8631, 5021, 291.5541, 38.1605, 100, 20, 18, 0, 57498,57527,57554,57850,58295,
8632, 5118, 227.9, 67.11, 321, 9, 6, 0, 57205,57416,57441,57444,57447,
8634, 5131, 240.4999, 6.1666, 111, 3, 3, 0, 57442,57445,57468,
8635, 5131, 240.4999, 6.1666, 211, 3, 3, 0, 57443,57470,
8636, 5131, 240.4999, 6.1666, 321, 7, 6, 0, 57560,57858,57890,57914,57918,58234,58298,
8637, 5132, 271.5123, -8.6512, 110, 5, 3, 0, 57482,57485,57488,57534,57538,
8638, 5132, 271.5123, -8.6512, 210, 4, 3, 0, 57483,57492,57536,57557,
8640, 5131, 240.4999, 6.1666, 211, 3, 3, 0, 57446,
8651, 2277, 313.69307, -1.57549989658e-12, 100, 3, 1, 0, 58289,58290,58291,
8652, 2278, 330.16307, -3.03433931323e-09, 100, 2, 1, 0, 58751,58752,
8654, 2280, 354.69307, 0.000317514986024, 100, 4, 1, 0, 59044,59046,59058,59059,
8655, 2281, 357.11307, -0.00022776887043, 100, 4, 1, 0, 57279,57281,57284,57309,
8656, 2282, 6.84307, -0.0531337890697, 100, 4, 1, 0, 58017,58018,58021,58022,
8657, 2283, 9.85307, 0.00657942209309, 100, 6, 1, 0, 57664,57665,57667,58011,58013,58014,
8658, 5133, 341.6281, 24.766, 100, 3, 3, 0, 57678,58055,58060,
8659, 5135, 12.0836, -12.1459, 100, 4, 3, 0, 57377,57649,57652,57673,
8660, 5136, 26.0918, -18.3741, 100, 3, 3, 0, 57323,57349,57654,
8661, 5137, 16.3906, 2.6778, 100, 3, 3, 0, 57650,57655,57678,
8662, 5138, 34.4292, -5.2669, 100, 3, 3, 0, 57327,57675,57678,
8663, 5139, 41.0376, -12.7976, 100, 3, 3, 0, 57295,57329,57349,
8664, 5134, 319.5814, 32.1493, 110, 4, 3, 0, 57566,57680,57932,57933,
8665, 5103, 60.3243, 36.8567, 200, 4, 3, 0, 57294,57297,57321,57322,
8666, 5104, 71.3521, 33.2303, 200, 4, 3, 0, 57407,57410,57651,57654,
8667, 5132, 271.5123, -8.6512, 320, 4, 3, 0, 57493,57499,57857,57861,
8668, 5003, 282.5456, 47.4204, 200, 1, 1, 0, 57294,
8669, 5003, 282.5456, 47.4204, 300, 1, 1, 0, 57295,
8670, 5005, 291.9041, 48.4365, 200, 4, 1, 0, 57510,57511,57512,57513,
8671, 5006, 288.4125, 46.8752, 300, 2, 1, 0, 57501,57502,
8672, 5006, 288.4125, 46.8752, 400, 2, 1, 0, 57503,57504,
8673, 5008, 281.9166, 43.4529, 200, 1, 1, 0, 57475,
8674, 5010, 294.1249, 46.0047, 300, 6, 1, 0, 57519,57520,57521,57522,57524,57561,
8675, 5011, 290.6749, 44.4662, 200, 4, 1, 0, 57515,57516,57517,57518,
8676, 5018, 286.4874, 38.9081, 200, 1, 1, 0, 57533,
8677, 5152, 315.1348, 55.3166, 110, 4, 3, 0, 57537,57544,57565,57568,
8678, 5153, 328.3787, 46.634, 110, 3, 3, 0, 57323,57347,57350,
8679, 5141, 333.426, 41.8427, 110, 3, 3, 0, 57348,57651,57677,
8680, 5149, 65.9356, 60.9641, 100, 3, 3, 0, 57324,57328,57350,
8681, 5150, 48.5932, 48.3652, 100, 4, 3, 0, 57321,57324,57347,57350,
8682, 5151, 87.9844, 42.4485, 100, 4, 3, 0, 57321,57322,57327,57346,
8683, 5142, 21.3023, 1.7479, 100, 3, 3, 0, 57651,57675,57679,
8684, 5143, 9.8386, 32.8029, 100, 3, 3, 0, 57676,57708,57711,
8685, 5144, 51.03, 20.1315, 100, 3, 3, 0, 57408,57648,57653,
8686, 5145, 60.6339, 11.0124, 100, 3, 3, 0, 57329,57358,57655,
8687, 5146, 348.8129, 42.4884, 100, 3, 3, 0, 57345,57349,57375,
8688, 5140, 314.1648, 36.1402, 110, 3, 3, 0, 57565,57650,57673,
8689, 5140, 314.1648, 36.1402, 210, 4, 3, 0, 57535,57539,57558,57560,
8690, 5154, 330.0037, 55.0498, 110, 4, 3, 0, 57321,57322,57346,57349,
8691, 5154, 330.0037, 55.0498, 210, 4, 3, 0, 57557,57565,57649,57652,
8692, 5154, 330.0037, 55.0498, 320, 3, 3, 0, 57559,57566,57650,
8693, 5154, 330.0037, 55.0498, 420, 3, 3, 0, 57653,57672,57679,
8694, 5147, 291.7, 0.92, 110, 2, 1, 0, 57561,57562,
8695, 5147, 291.7, 0.92, 210, 1, 1, 0, 57678,
8696, 5073, 306.3151, 58.9476, 210, 3, 3, 0, 57323,57534,57538,
8697, 5040, 340.2536, 44.9861, 210, 3, 3, 0, 57321,57324,57348,
8698, 5041, 313.497, 63.7074, 210, 5, 3, 0, 57322,57535,57542,57555,57558,
8699, 5096, 344.3123, 59.7467, 210, 3, 3, 0, 57678,57706,57732,
8700, 5052, 4.8137, 68.6883, 300, 3, 3, 0, 57319,57327,57346,
8701, 5052, 4.8137, 68.6883, 400, 3, 3, 0, 57328,57347,57374,
8702, 5097, 7.536, 56.7504, 300, 3, 3, 0, 57348,57374,57378,
8703, 5097, 7.536, 56.7504, 400, 3, 3, 0, 57375,57404,57407,
8704, 5079, 65.668, 41.1921, 200, 3, 3, 0, 57328,57331,57356,
8705, 5081, 78.7065, 48.9304, 200, 3, 3, 0, 57323,57328,57349,
8706, 5110, 322.493, 12.1671, 321, 5, 3, 0, 57561,57677,57917,57920,58296,
8707, 5155, 96.2087, -4.5822, 100, 4, 3, 0, 57321,57322,57327,57347,
8708, 5156, 277.9979, 3.6788, 110, 3, 3, 0, 57528,57532,57555,
8710, 2285, 117.930046082, 50.2423858643, 100, 2, 1, 0, 57432,58538,
8711, 2286, 119.115875244, 51.8313026428, 100, 1, 1, 0, 57429,
8712, 2287, 120.83215332, 54.1224594116, 100, 1, 1, 0, 57430,
8713, 2288, 116.963264465, 39.2152671814, 100, 1, 1, 0, 57339,
8714, 2289, 119.051391602, 46.202419281, 100, 1, 1, 0, 57428,
8715, 2290, 120.186859131, 50.9174766541, 100, 2, 1, 0, 57372,57373,
8716, 2291, 121.890068054, 53.1297035217, 100, 2, 1, 0, 57423,57424,
8717, 2292, 118.150794983, 35.7305984497, 100, 3, 1, 0, 57423,57424,57425,
8718, 2293, 120.723922729, 44.797794342, 100, 2, 1, 0, 57363,57364,
8719, 2294, 121.485671997, 46.9597244263, 100, 1, 1, 0, 57362,
8720, 2295, 122.313102722, 49.5929260254, 100, 1, 1, 0, 57431,
