plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
9904, 5383, 265.41505, -25.97216, 100, 1, 1, 0, 57946,
9905, 5384, 334.05053, -12.66286, 100, 1, 1, 0, 57971,
9906, 5385, 332.28341, -10.52563, 100, 2, 1, 0, 57972,57949,
9907, 5386, 338.40011, -13.42023, 100, 2, 1, 0, 57949,57970,
9908, 5387, 338.74746, -9.2412, 100, 1, 1, 0, 57948,
9910, 5389, 19.57504, 10.88592, 100, 1, 1, 0, 57947,
9912, 5391, 263.12945, -29.57531, 100, 1, 1, 0, 57946,
9914, 5393, 262.2062, -28.0503, 100, 1, 1, 0, 57946,
9916, 5394, 267.85267, -29.96302, 100, 1, 1, 0, 58348,
9917, 5395, 269.21975, -30.28666, 100, 1, 1, 0, 58626,
9918, 5396, 270.07546, -31.44379, 100, 1, 1, 0, 58349,
9919, 5397, 264.75666, -27.72074, 100, 2, 1, 0, 57948,58293,
9921, 5398, 263.42761, -26.75406, 100, 2, 1, 0, 58264,
9922, 5398, 263.42761, -26.75406, 100, 2, 1, 0, 57949,
9923, 5399, 261.56325, -26.01918, 100, 3, 1, 0, 57949,58264,
9924, 5399, 261.56325, -26.01918, 100, 3, 1, 0, 57949,
9925, 5400, 268.45074, -28.6885, 100, 1, 1, 0, 57948,
9926, 5401, 268.45534, -29.38715, 100, 2, 1, 0, 58772,58626,
9927, 5402, 270.68123, -30.04788, 100, 2, 1, 0, 57948,57949,
9928, 5403, 271.93294, -31.10135, 100, 1, 1, 0, 58264,
9930, 5404, 269.74069, -28.90115, 100, 1, 1, 0, 57948,
9932, 5405, 271.9741, -29.7303, 100, 1, 1, 0, 57949,
9933, 5406, 273.11111, -30.01389, 100, 2, 1, 0, 58030,
9934, 5406, 273.11111, -30.01389, 100, 2, 1, 0, 57948,
9935, 5407, 265.74965, -26.79905, 100, 1, 1, 0, 58292,
9936, 5408, 269.65287, -27.52078, 100, 1, 1, 0, 58626,
9938, 5410, 271.08098, -28.43041, 100, 1, 1, 0, 58263,
9940, 5411, 273.02056, -28.23309, 100, 2, 1, 0, 58626,
9941, 5411, 273.02056, -28.23309, 100, 2, 1, 0, 58059,
9944, 5414, 270.66259, -26.47925, 100, 1, 1, 0, 58262,
9949, 5417, 264.10876, -23.61515, 100, 1, 1, 0, 58262,
9950, 5418, 271.82117, -26.35718, 100, 2, 1, 0, 57949,
9951, 5418, 271.82117, -26.35718, 100, 2, 1, 0, 58261,
9953, 5420, 266.00071, -23.04741, 100, 1, 1, 0, 58264,
9954, 5421, 264.96537, -21.82017, 100, 1, 1, 0, 58261,
9955, 5422, 266.54685, -21.59674, 100, 1, 1, 0, 58263,
9956, 5423, 268.37288, -21.76855, 100, 2, 1, 0, 58261,
9958, 5425, 266.70848, -33.8264, 100, 1, 1, 0, 58292,
9959, 5426, 268.08342, -34.97442, 100, 2, 1, 0, 58262,
9960, 5427, 270.10442, -34.78623, 100, 1, 1, 0, 58264,
9961, 5428, 267.23711, -32.65933, 100, 1, 1, 0, 58348,
9963, 5430, 261.82861, -29.51366, 100, 3, 1, 0, 58293,58292,
9964, 5430, 261.82861, -29.51366, 100, 3, 1, 0, 58320,
9965, 5431, 268.7023, -32.11537, 100, 1, 1, 0, 58349,
9966, 5432, 270.19907, -33.1188, 100, 1, 1, 0, 58348,
9967, 5433, 263.28265, -29.7714, 100, 1, 1, 0, 57948,
9969, 5434, 268.03385, -31.05339, 100, 1, 1, 0, 58349,
9971, 5435, 264.16095, -28.99458, 100, 1, 1, 0, 58261,
9972, 5436, 262.69898, -28.49253, 100, 2, 1, 0, 57948,
9973, 5436, 262.69898, -28.49253, 100, 2, 1, 0, 58292,
9974, 5437, 282.89062, 0.0606, 100, 1, 1, 0, 57915,
9988, 5442, 270.34906, -26.97817, 100, 1, 1, 0, 58032,
9989, 5443, 262.78281, -37.89166, 100, 1, 1, 0, 58177,
9991, 5445, 288.96375, -16.29974, 100, 2, 1, 0, 58031,58033,
9992, 5446, 335.61122, -4.43319, 100, 2, 1, 0, 58029,58030,
9993, 5447, 336.09974, -14.99134, 100, 1, 1, 0, 58032,
9994, 5448, 334.45942, -9.74196, 100, 2, 1, 0, 58031,58033,
9995, 5449, 333.60098, -16.60937, 100, 1, 1, 0, 58033,
9996, 5450, 340.41275, -15.61946, 100, 1, 1, 0, 58026,
9997, 5451, 330.27157, -11.72723, 100, 3, 1, 0, 58028,58052,58026,
9998, 5452, 22.77711, 6.61948, 100, 1, 1, 0, 58063,
9999, 5453, 14.42229, 8.21036, 100, 1, 1, 0, 58033,
10001, 2284, 134.413574219, 57.6042137146, 100, 2, 1, 0, 57373,57372,
10005, 5455, 60.07968, 22.10445, 100, 2, 1, 0, 58505,58502,
10007, 5457, 60.34679, 16.14995, 100, 1, 1, 0, 58032,
10008, 5001, 289.5332, 50.8338, 200, 2, 1, 0, 57936,57938,
